timestamp,open,high,low,close,volume,trade_count,vwap
2018-01-02 05:00:00+00:00,1.1,1.14,1.08,1.12,62379,171,1.108743
2018-01-03 05:00:00+00:00,1.13,1.24,1.0901,1.17,290901,472,1.186264
2018-01-04 05:00:00+00:00,2.84,11.9,2.76,9.34,82579306,290545,5.850408
2018-01-05 05:00:00+00:00,8.05,8.49,5.54,5.7,18760818,74568,7.189954
2018-01-08 05:00:00+00:00,5.25,7.09,5.05,6.06,9565940,31471,6.273157
2018-01-09 05:00:00+00:00,6.33,6.68,5.66,5.94,4409056,12789,6.17259
2018-01-10 05:00:00+00:00,5.41,5.91,5.0,5.03,1893221,5073,5.390414
2018-01-11 05:00:00+00:00,5.59,8.4,5.125,6.38,35903319,122124,7.204852
2018-01-12 05:00:00+00:00,5.18,5.18,4.77,4.8,7537939,27645,4.976512
2018-01-16 05:00:00+00:00,4.5,4.54,4.2,4.28,1747960,5359,4.356043
2018-01-17 05:00:00+00:00,4.15,4.22,3.6,3.98,2109744,5542,3.898765
2018-01-18 05:00:00+00:00,4.39,4.8,3.8806,4.0,4443030,13175,4.383595
2018-01-19 05:00:00+00:00,4.07,4.2,3.85,3.89,2192761,5712,4.0326
2018-01-22 05:00:00+00:00,3.91,3.94,3.66,3.74,860493,2564,3.78385
2018-01-23 05:00:00+00:00,5.0,5.27,4.05,4.09,24020540,73963,4.602026
2018-01-24 05:00:00+00:00,3.93,4.2272,3.93,4.03,1686188,4783,4.060347
2018-01-25 05:00:00+00:00,4.01,4.18,3.9,4.08,988262,2453,4.02129
2018-01-26 05:00:00+00:00,4.06,4.06,3.95,4.03,484284,1358,4.001876
2018-01-29 05:00:00+00:00,3.94,4.0,3.8,3.84,644691,1780,3.854422
2018-01-30 05:00:00+00:00,3.81,3.8157,3.5,3.53,920582,2179,3.617808
2018-01-31 05:00:00+00:00,3.5,3.5,3.18,3.2,904165,2552,3.285684
2018-02-01 05:00:00+00:00,3.1,3.1199,3.0,3.02,625495,1720,3.049593
2018-02-02 05:00:00+00:00,2.9,3.05,2.71,2.83,832004,1776,2.853184
2018-02-05 05:00:00+00:00,2.81,3.15,2.59,2.6,859294,2001,2.819396
2018-02-06 05:00:00+00:00,2.46,2.8,2.27,2.67,1047629,2372,2.53247
2018-02-07 05:00:00+00:00,2.97,2.97,2.65,2.72,1129102,2590,2.816853
2018-02-08 05:00:00+00:00,2.79,2.79,2.45,2.5,572531,1381,2.562972
2018-02-09 05:00:00+00:00,2.56,2.61,2.22,2.36,720432,1532,2.357599
2018-02-12 05:00:00+00:00,2.43,2.5302,2.37,2.43,392297,879,2.439634
2018-02-13 05:00:00+00:00,2.4,2.89,2.382,2.73,2107344,4176,2.688634
2018-02-14 05:00:00+00:00,2.71,3.149,2.5,2.97,3136977,5838,2.895856
2018-02-15 05:00:00+00:00,3.0,3.25,3.0,3.2,1753700,4196,3.136147
2018-02-16 05:00:00+00:00,3.0,3.1688,2.75,2.79,938673,2337,2.923217
2018-02-20 05:00:00+00:00,2.85,2.91,2.62,2.78,362783,892,2.771497
2018-02-21 05:00:00+00:00,2.82,2.82,2.65,2.71,270445,681,2.719884
2018-02-22 05:00:00+00:00,2.68,2.78,2.56,2.59,307907,860,2.648176
2018-02-23 05:00:00+00:00,2.61,2.6499,2.565,2.63,199511,596,2.607794
2018-02-26 05:00:00+00:00,2.68,2.74,2.55,2.71,186224,589,2.66177
2018-02-27 05:00:00+00:00,2.74,2.75,2.6,2.63,141925,549,2.668723
2018-02-28 05:00:00+00:00,2.67,2.7195,2.58,2.62,147594,450,2.62354
2018-03-01 05:00:00+00:00,2.61,2.6272,2.51,2.51,162766,431,2.553449
2018-03-02 05:00:00+00:00,2.5,2.65,2.45,2.62,196162,685,2.568278
2018-03-05 05:00:00+00:00,2.63,2.6585,2.53,2.57,165565,503,2.588993
2018-03-06 05:00:00+00:00,2.6,2.645,2.53,2.59,122880,442,2.577613
2018-03-07 05:00:00+00:00,2.6,2.61,2.5,2.54,158124,409,2.531352
2018-03-08 05:00:00+00:00,2.59,2.59,2.38,2.4,307978,773,2.431241
2018-03-09 05:00:00+00:00,2.38,2.46,2.341,2.35,207625,540,2.377525
2018-03-12 04:00:00+00:00,2.39,2.63,2.31,2.6,535893,1195,2.47232
2018-03-13 04:00:00+00:00,2.58,2.6284,2.411,2.45,388380,996,2.512937
2018-03-14 04:00:00+00:00,2.46,2.51,2.38,2.41,171185,482,2.430886
2018-03-15 04:00:00+00:00,2.44,2.65,2.36,2.42,487202,1140,2.510813
2018-03-16 04:00:00+00:00,2.39,2.4695,2.35,2.41,147283,467,2.385011
2018-03-19 04:00:00+00:00,2.43,2.54,2.35,2.38,352388,723,2.436461
2018-03-20 04:00:00+00:00,2.4,2.42,2.23,2.27,265213,618,2.281388
2018-03-21 04:00:00+00:00,2.25,2.2801,2.12,2.17,467221,1040,2.186616
2018-03-22 04:00:00+00:00,2.11,2.1935,2.1,2.13,167399,436,2.136678
2018-03-23 04:00:00+00:00,2.11,2.12,1.9,1.92,341074,754,1.995753
2018-03-26 04:00:00+00:00,1.98,2.0594,1.9219,2.02,155985,369,1.999031
2018-03-27 04:00:00+00:00,2.04,2.0602,1.88,1.9,161246,389,1.94434
2018-03-28 04:00:00+00:00,1.89,1.89,1.74,1.79,225503,580,1.786294
2018-03-29 04:00:00+00:00,1.83,1.85,1.63,1.6688,162002,597,1.770119
2018-04-02 04:00:00+00:00,1.67,1.8377,1.61,1.68,209098,505,1.727533
2018-04-03 04:00:00+00:00,1.71,1.7684,1.63,1.66,69383,266,1.679812
2018-04-04 04:00:00+00:00,1.63,1.78,1.63,1.7,177718,389,1.698013
2018-04-05 04:00:00+00:00,1.7,1.98,1.7,1.79,346737,849,1.826625
2018-04-06 04:00:00+00:00,1.77,1.8201,1.7,1.79,89077,284,1.764906
2018-04-09 04:00:00+00:00,1.81,1.8693,1.75,1.76,68706,248,1.782383
2018-04-10 04:00:00+00:00,1.81,2.75,1.7803,2.5,7826843,18726,2.396469
2018-04-11 04:00:00+00:00,2.53,3.19,2.5,2.65,8476212,24024,2.770751
2018-04-12 04:00:00+00:00,2.75,2.79,2.41,2.56,1381011,3459,2.57178
2018-04-13 04:00:00+00:00,2.56,2.6072,2.25,2.33,583342,1627,2.350773
2018-04-16 04:00:00+00:00,2.31,2.5,2.22,2.47,343469,979,2.386248
