timestamp,open,high,low,close,volume,trade_count,vwap
2018-01-02 05:00:00+00:00,3.7,3.72,3.43,3.5,4284875,15914,3.527564
2018-01-03 05:00:00+00:00,3.49,3.55,3.31,3.5,3182509,11609,3.449763
2018-01-04 05:00:00+00:00,3.51,3.52,3.38,3.39,3934321,15187,3.444913
2018-01-05 05:00:00+00:00,3.36,3.64,3.33,3.57,3175338,11509,3.528314
2018-01-08 05:00:00+00:00,3.47,3.59,3.41,3.54,2806423,11688,3.513108
2018-01-09 05:00:00+00:00,3.53,3.635,3.495,3.51,2114909,9812,3.539382
2018-01-10 05:00:00+00:00,3.5,3.65,3.47,3.56,1728407,8016,3.557931
2018-01-11 05:00:00+00:00,3.58,3.7499,3.51,3.72,2116040,9080,3.678458
2018-01-12 05:00:00+00:00,3.7,4.0,3.66,3.72,5547410,14197,3.852697
2018-01-16 05:00:00+00:00,3.73,3.81,3.43,3.45,2272320,9452,3.541968
2018-01-17 05:00:00+00:00,3.45,3.56,3.44,3.47,1821565,7773,3.481911
2018-01-18 05:00:00+00:00,4.18,5.42,4.15,5.26,50750960,128223,4.930105
2018-01-19 05:00:00+00:00,4.83,5.02,4.61,4.78,12908753,34912,4.787151
2018-01-22 05:00:00+00:00,4.81,5.28,4.718,5.16,6086646,18803,5.071988
2018-01-23 05:00:00+00:00,5.1,5.15,4.64,4.87,6167235,20019,4.817656
2018-01-24 05:00:00+00:00,4.97,5.13,4.64,4.65,5383655,13219,4.825608
2018-01-25 05:00:00+00:00,4.63,4.64,4.17,4.18,4810648,14681,4.338602
2018-01-26 05:00:00+00:00,4.23,4.44,4.04,4.37,4661147,14884,4.254977
2018-01-29 05:00:00+00:00,4.4,4.5,4.32,4.4,4374646,10916,4.398937
2018-01-30 05:00:00+00:00,4.35,4.475,4.28,4.45,2344805,9533,4.401067
2018-01-31 05:00:00+00:00,4.45,4.5,4.22,4.35,2495812,9356,4.312059
2018-02-01 05:00:00+00:00,4.28,4.34,4.17,4.2,2288300,9397,4.215447
2018-02-02 05:00:00+00:00,4.15,4.27,3.94,4.25,2873925,11463,4.156772
2018-02-05 05:00:00+00:00,4.21,4.4,4.11,4.12,3047954,13284,4.245162
2018-02-06 05:00:00+00:00,4.01,4.32,3.98,4.19,2672798,13118,4.218316
2018-02-07 05:00:00+00:00,4.18,4.29,4.14,4.16,1897134,9620,4.186417
2018-02-08 05:00:00+00:00,4.17,4.49,4.149,4.33,3235543,16138,4.332129
2018-02-09 05:00:00+00:00,4.35,4.43,4.14,4.29,2975739,14651,4.24964
2018-02-12 05:00:00+00:00,4.31,4.39,4.11,4.19,2161884,10240,4.192242
2018-02-13 05:00:00+00:00,5.45,5.71,4.89,4.95,37567433,94196,5.270607
2018-02-14 05:00:00+00:00,4.88,4.9,4.08,4.18,13268943,38033,4.405073
2018-02-15 05:00:00+00:00,4.26,4.43,4.235,4.43,4989839,16016,4.353872
2018-02-16 05:00:00+00:00,4.43,4.5988,4.36,4.36,3446067,14279,4.46714
2018-02-20 05:00:00+00:00,4.38,4.46,4.16,4.21,3596213,12694,4.277114
2018-02-21 05:00:00+00:00,4.2,4.265,4.12,4.2,2052668,7248,4.199433
2018-02-22 05:00:00+00:00,4.19,4.24,4.045,4.05,2445116,8649,4.126983
2018-02-23 05:00:00+00:00,4.2,4.525,4.05,4.42,12191616,34362,4.341038
2018-02-26 05:00:00+00:00,4.46,4.56,4.311,4.42,3764594,12080,4.439625
2018-02-27 05:00:00+00:00,4.45,4.63,4.3,4.32,3385628,12427,4.444986
2018-02-28 05:00:00+00:00,4.32,4.41,4.1,4.26,3570639,13380,4.205105
2018-03-01 05:00:00+00:00,4.27,4.3004,4.07,4.16,2253808,9557,4.174769
2018-03-02 05:00:00+00:00,4.13,4.545,4.1203,4.5,3976483,15458,4.40867
2018-03-05 05:00:00+00:00,4.51,4.51,4.215,4.31,2808616,11473,4.322938
2018-03-06 05:00:00+00:00,4.31,4.38,4.21,4.33,1783668,8809,4.306585
2018-03-07 05:00:00+00:00,4.28,4.3666,4.18,4.22,1836783,7533,4.249703
2018-03-08 05:00:00+00:00,4.23,4.27,4.1,4.11,2855715,12081,4.158188
2018-03-09 05:00:00+00:00,4.21,4.23,3.96,4.15,4257977,14462,4.079983
2018-03-12 04:00:00+00:00,4.15,4.2852,4.11,4.25,3159295,12121,4.218715
2018-03-13 04:00:00+00:00,4.24,4.4,4.23,4.28,2515876,10654,4.312201
2018-03-14 04:00:00+00:00,4.28,4.36,4.16,4.24,2207190,8974,4.244097
2018-03-15 04:00:00+00:00,4.28,4.33,4.2,4.25,1563872,7774,4.255775
2018-03-16 04:00:00+00:00,4.25,4.33,4.16,4.32,5616234,11922,4.288755
2018-03-19 04:00:00+00:00,4.28,4.3,3.97,4.03,4045119,13755,4.083063
2018-03-20 04:00:00+00:00,4.03,4.09,3.88,3.97,2634298,7403,3.954341
2018-03-21 04:00:00+00:00,3.95,4.04,3.93,3.96,1164138,4690,3.989532
2018-03-22 04:00:00+00:00,3.95,4.005,3.875,3.88,1158190,5183,3.919932
2018-03-23 04:00:00+00:00,3.89,3.99,3.86,3.88,2315114,12140,3.926994
2018-03-26 04:00:00+00:00,3.91,4.07,3.78,4.0,1944281,9158,3.914683
2018-03-27 04:00:00+00:00,3.99,4.04,3.88,3.99,1735703,8313,3.962116
2018-03-28 04:00:00+00:00,3.99,4.07,3.92,4.02,1434466,7494,4.014403
